ImageFileName    Left_Edge_Longitude    Right_Edge_Longitude   Top_Edge_Latitude      Bottom_Edge_Latitude
gm_4369_1263_13.png:    11.99707031250000    12.04101562500000    77.00981701510067    76.99993511527121
gm_4370_1263_13.png:    12.04101562500000    12.08496093750000    77.00981701510067    76.99993511527121
gm_4371_1263_13.png:    12.08496093750000    12.12890625000000    77.00981701510067    76.99993511527121
gm_4372_1263_13.png:    12.12890625000000    12.17285156250000    77.00981701510067    76.99993511527121
gm_4373_1263_13.png:    12.17285156250000    12.21679687500000    77.00981701510067    76.99993511527121
gm_4374_1263_13.png:    12.21679687500000    12.26074218750000    77.00981701510067    76.99993511527121
gm_4375_1263_13.png:    12.26074218750000    12.30468750000000    77.00981701510067    76.99993511527121
gm_4376_1263_13.png:    12.30468750000000    12.34863281250000    77.00981701510067    76.99993511527121
gm_4377_1263_13.png:    12.34863281250000    12.39257812500000    77.00981701510067    76.99993511527121
gm_4378_1263_13.png:    12.39257812500000    12.43652343750000    77.00981701510067    76.99993511527121
gm_4379_1263_13.png:    12.43652343750000    12.48046875000000    77.00981701510067    76.99993511527121
gm_4380_1263_13.png:    12.48046875000000    12.52441406250000    77.00981701510067    76.99993511527121
gm_4381_1263_13.png:    12.52441406250000    12.56835937500000    77.00981701510067    76.99993511527121
gm_4382_1263_13.png:    12.56835937500000    12.61230468750000    77.00981701510067    76.99993511527121
gm_4383_1263_13.png:    12.61230468750000    12.65625000000000    77.00981701510067    76.99993511527121
gm_4384_1263_13.png:    12.65625000000000    12.70019531250000    77.00981701510067    76.99993511527121
gm_4385_1263_13.png:    12.70019531250000    12.74414062500000    77.00981701510067    76.99993511527121
gm_4386_1263_13.png:    12.74414062500000    12.78808593750000    77.00981701510067    76.99993511527121
gm_4387_1263_13.png:    12.78808593750000    12.83203125000000    77.00981701510067    76.99993511527121
gm_4388_1263_13.png:    12.83203125000000    12.87597656250000    77.00981701510067    76.99993511527121
gm_4389_1263_13.png:    12.87597656250000    12.91992187500000    77.00981701510067    76.99993511527121
gm_4390_1263_13.png:    12.91992187500000    12.96386718750000    77.00981701510067    76.99993511527121
gm_4391_1263_13.png:    12.96386718750000    13.00781250000000    77.00981701510067    76.99993511527121
